"Seattle, WA - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Seattle,city,All Homes,"$752,200",0.8%,2.0%,-0.7%,8.8%,6.0%,8.6%,1.7%,-11.5%,-6.8%,$607,0.0%,0.0%,0.0%,3.2%,0.3%,0.0%,-0.2%,"$689,900",-1.2%,-1.3%,0.7%,"$719,400",0.6%,3.3%,6.8%,$517,1.5%,1.0%,1.3%,"$2,600",-1.7%,-1.9%,0.0%,$2.22,1.2%,3.4%,5.1%,---,---,---,---,"$2,630",-0.4%,-1.1%,1.7%
Seattle-Tacoma-Bellevue Metro,metro,All Homes,"$531,400",0.9%,2.3%,3.1%,9.0%,5.2%,6.8%,0.8%,-9.8%,-6.8%,$491,0.0%,0.0%,0.0%,2.6%,0.2%,-0.2%,-0.2%,"$500,000",0.0%,-2.9%,0.0%,"$490,800",2.0%,5.3%,8.9%,$285,-0.5%,-2.2%,4.5%,"$2,300",0.0%,-0.2%,2.0%,$1.59,0.3%,2.6%,4.6%,0.85,0.3%,0.3%,0.1%,"$2,327",0.0%,-0.6%,2.7%
